kabupaten_kota,luas_panen_jahe (m²),luas_panen_kapulaga (m²),luas_panen_keji_beling (m²),luas_panen_kencur (m²),luas_panen_kunyit (m²),luas_panen_laos/lengkuas (m²),luas_panen_lempuyang (m²),luas_panen_lidah_buaya (m²),luas_panen_mahkota_dewa (pohon),luas_panen_mengkudu/pace (pohon),luas_panen_sambiloto (m²),luas_panen_temuireng (m²),luas_panen_temukunci (m²),luas_panen_temulawak (m²),luas_panen_jeruk_nipis (pohon),luas_panen_serai (m²),tahun
Kota Madiun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
Kota Surabaya,276.0,0.0,0.0,10.0,98.0,22.0,20.0,43.0,30.0,331.0,1.0,0.0,0.0,28.0,0.0,0.0,2022
Kota Batu,81050.0,0.0,0.0,430.0,31900.0,5180.0,100.0,1110.0,0.0,0.0,0.0,610.0,0.0,6250.0,60.0,775.0,2022
Pacitan,6261804.0,14880.0,0.0,696831.0,11029812.0,1405126.0,166169.0,7721.0,385.0,1688.0,102000.0,50953.0,41982.0,3586447.0,1606.0,71345.0,2023
Ponorogo,3433387.0,195000.0,0.0,263346.0,2989075.0,1241200.0,83535.0,305.0,0.0,7380.0,0.0,365689.0,152330.0,405389.0,5.0,25714.0,2023
Trenggalek,1353541.0,190060.0,0.0,140589.0,676101.0,172433.0,77601.0,116.0,20.0,39264.0,50.0,36564.0,43804.0,215860.0,20391.0,18645.0,2023
Tulungagung,24694.0,79.0,0.0,12137.0,22760.0,9724.0,767.0,543.0,17.0,1006.0,146.0,797.0,948.0,7299.0,54642.0,743.0,2023
Blitar,267923.0,38238.0,0.0,18281.0,47513.0,67518.0,450.0,10.0,0.0,1777.0,0.0,4420.0,901.0,7374.0,4626.0,5829.0,2023
Kediri,166756.0,7.0,0.0,1810.0,16454148.0,26802.0,307.0,800.0,0.0,1400.0,20.0,100.0,0.0,322199.0,13884.0,72685.0,2023
Malang,1416373.0,408220.0,0.0,110963.0,233056.0,104553.0,26112.0,6227.0,2722.0,14836.0,3476.0,9060.0,6656.0,29779.0,146505.0,70052.0,2023
Lumajang,104785.0,2103524.0,0.0,7207.0,14886.0,4561.0,6131.0,7.0,0.0,8211.0,0.0,5787.0,6926.0,8846.0,5000.0,15.0,2023
Jember,199327.0,153562.0,0.0,22818.0,31702.0,54131.0,3421.0,1339.0,3250.0,15132.0,1717.0,15118.0,13605.0,17821.0,2898.0,13496.0,2023
Banyuwangi,36946.0,323541.0,0.0,13782.0,26404.0,23077.0,1684.0,33.0,143.0,631.0,79.0,206.0,2590.0,9522.0,11434.0,7540.0,2023
Bondowoso,326895.0,0.0,0.0,9750.0,6677000.0,75810.0,150.0,0.0,20.0,192.0,0.0,16800.0,11600.0,94000.0,172.0,5200.0,2023
Situbondo,718830.0,0.0,0.0,0.0,248850.0,80.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,124.0,2061.0,2023
Probolinggo,360566.0,102020.0,0.0,108955.0,479810.0,112760.0,4500.0,25.0,28.0,605.0,1.0,225281.0,161722.0,128759.0,2251.0,17312.0,2023
Pasuruan,405070.0,16740.0,0.0,137448.0,872639.0,282692.0,264004.0,6020.0,27887.0,4412.0,207953.0,264495.0,45166.0,415341.0,11105.0,10410.0,2023
Sidoarjo,359.0,0.0,0.0,122.0,752.0,1012.0,28.0,4.0,0.0,25.0,0.0,297.0,193.0,160.0,772.0,10796.0,2023
